Pod,Season,Ep,Episode_ID,Film,Release_Date,Length,Length_minutes,Reviewer,Guest,MMM_Count,Thats_Great_Count,Notable_Moments,H_Flex,J_Flex,Kevs_Question,TildaH,TildaJason,TildaGuest,TildaCorey,Chuckle_Hut_Favorites,Show_Link,Artwork_Link,Letterboxd_Link,IMDB_Link
DP,5,96,96,Sneakers (1992),44703,0.06590277777777778,"=G100/TIME(0,0,60)",Space Monkey,Nell Thomas,44,4,N/A,Haitch knew River Phoenix (First Instance?),N/A,"Has there ever been a movie that even though it's good, it puts you to sleep?",Whistler,Robert Redford role,Cosmo/Russian,Didn't watch the movie/no answer,,https://open.spotify.com/episode/0pQKFsuAG0dSAl3JgDoxay?si=AHxwU19iT1mHeaTyvD5EsA,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1653062932000-f4ca71bc86524.jpg,,https://www.imdb.com/title/tt0105435/?ref_=ext_shr_lnk
DP,5,97,97,The Fifth Element (1997),44710,0.0717824074074074,"=G101/TIME(0,0,60)",NJBoom,Kaite Dreke,43,3,"- Great pitch for the ""Mum's of DunePod Discord""
- H pitched a meetup for Bluey Live. 
- Pod-First: Goldtoe's woes (Coined by Hex!) - Colonoscopy Prep. 
- H announces a Special Edition version of Episode 1 of the pod. 
- H full reading of Zorg monologue. 
- Frank talk about the social benefits of cunnilingus in sci-fi.","H was Mr Mainland at Mainland High School while trying to help save people for Jesus, and make out with girls","In High School, Jason was in the Math Club, Debate team, Honors Society, Literary Magazine. ",What was your creative outlet at school?,President Lindberg,Zorg,Zorg,Ruby Rod,,https://open.spotify.com/episode/2UBcwkQRTRodhorzvmFxxt?si=dllL64UvQqygvA_PyN-smA,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1653672341188-03ec1cf7796a7.jpg,,https://www.imdb.com/title/tt0119116/?ref_=ext_shr_lnk
DP,5,98,98,Logan's Run (1976),44717,0.08375,"=G102/TIME(0,0,60)",Jeth,Rosie Knight,31,5,"- Goldtoe's Woes sounder
- Buddha call-out/flex (grandmother was extra in Logan's Run",N/A,N/A,What makes a dystopia appealing to you or want to learn about dystopian society? when is Soylent Green?,the old one,box,Logan/Jessica/Box/computer network,the other sandman,,https://open.spotify.com/episode/4RMKQnmwT5ShybNsxlGnLj?si=ya0jtDr5R-uN08L3g3tUIw,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1654183328483-3f0d21ec8aacb.jpg,,https://www.imdb.com/title/tt0074812/?ref_=ext_shr_lnk
DP,5,99,99,Highlander (1986),44724,0.07096064814814815,"=G103/TIME(0,0,60)",Hex,Jonesy Loves Beer,12,0,"- Jason's creepy imitation of Lambert's McCloud
- ""Sean Connery ruined is not grammatically possible.""",N/A,N/A,your favorite TV series based on a movie,Kastagir,Ramirez ,the Kurgan,Michael P.S. Hayes,,https://open.spotify.com/episode/1G0xsKMx4T4eVDKfJv4zBp?si=TAOrapjpTYmTi6hMPGzPqQ,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1655050791326-8e8358099671a.jpg,,https://www.imdb.com/title/tt0091203/?ref_=ext_shr_lnk
DP,5,100,100,The Black Hole (1979),44731,0.06790509259259259,"=G104/TIME(0,0,60)",Hex,Danny Haas,18,1,"- Episode 100!
- Dany's breathless laughter throughout; 
- ""Ctchr on asylum""
- Art calls in
- Corey wrote a poem for ep 100
- Silly made a top 10 moments vm
-  Jason Sings Opening Credit music",N/A,N/A,why can't Disney make good love/ action movies?,either Reinhardt or V.I.N.Cent,Reinhardt (unless Jack Black is cast),V.I.N.Cent,NA,,https://open.spotify.com/episode/6MBSEJ6VBGRdsL7cdlLon4?si=2R-KwaqbQguKmY6T1tM64A,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1655388089114-75eec8c93d531.jpg,,https://www.imdb.com/title/tt0078869/?ref_=ext_shr_lnk
DP,5,BONUS,100b1,Dune (1965) EPISODE 1: SPECIAL EDITION,44738,0.06375,"=G105/TIME(0,0,60)",Space Monkey,Proto,15,3,N/A,N/A,N/A,"What are you most afraid of losing in Dune Part Two?/If you could make another podcast, what would it be about?",N/A,N/A,N/A,N/A,,https://open.spotify.com/episode/2jFiojA15bUwI8hAVN63ZK?si=Kn5aP_xPR7elQGuSrVUeCA,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1656293781962-ff79474cccb53.jpg
DP,6,101,101,Heat (1995),44745,0.07268518518518519,"=G106/TIME(0,0,60)",NJBoom,None,24,9,"- More Jason slander of Bob Dylan
- Is Pacino doing great acting with the ""GREAT ASS"" thing? 
- This movie ends the same way Dune Pod will end.",N/A,N/A,Actors alive or dead to act together in a scene like the diner scene.,Jon Voight,Val Kilmer ,"from the Chat - Van Zandt, Henry Rollins, Pacino",Danny Trejo,,https://open.spotify.com/episode/2jFiojA15bUwI8hAVN63ZK?si=Kn5aP_xPR7elQGuSrVUeCA,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1656684168374-8214b37eb9f9b.jpg,,https://www.imdb.com/title/tt0113277/?ref_=ext_shr_lnk
DP,6,102,102,Showgirls (1995),44752,0.07828703703703704,"=G107/TIME(0,0,60)",Space Monkey,McKenzie Wilkes,43,4,N/A,N/A,N/A,What scene ruined a movie for you?,Zach,Stardust Showrunner,Cheetah Club Owner,Nomi/Tony Moss,,https://open.spotify.com/episode/0bF4GYDBHtDciSFmHpJHIs?si=cHmX-8dpRPODwRncmEHZgw,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1657287847096-a4d26960b8b3c.jpg,,https://www.imdb.com/title/tt0114436/?ref_=ext_shr_lnk
DP,6,103,103,Southland Tales (2006),44760,0.05722222222222222,"=G108/TIME(0,0,60)",Buddha,Kev,5,0,H calls in as Kev for Kev's  H's Q,N/A,N/A,What's a movie you were all in for when you saw the trailer and it lived up to expectations?,Baron,Janeane Garofalo,Jon Lovitz,J Timberlake,,https://open.spotify.com/episode/6zIdlk3lSEQRV2xSqSMQEW?si=Pys0MmrLSt6nurmEn3sOZg,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1657910404161-8b498a6603ed6.jpg,,https://www.imdb.com/title/tt0405336/?ref_=ext_shr_lnk
DP,6,BONUS,103b1,1 Year Anniversary of the Dune IMAX Sneak Preview Event (2021),44763,0.041087962962962965,"=G109/TIME(0,0,60)",Space Monkey,Danny Haas,39,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,https://open.spotify.com/episode/6QVrMlEazpom1NLEZy1qbN?si=ITo-BNRrQbKU4M7DOriLsw,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1658424426910-96abf6ec26a05.jpg,,https://www.imdb.com/title/tt1160419/?ref_=ext_shr_lnk
DP,6,104,104,Rango (2011),44766,0.05707175925925926,"=G110/TIME(0,0,60)",Huffle,Neil Bradbury,27,2,"- War on Elon's Aggression segment
- Pod-First: Max Petty!",N/A,N/A,What are your favorite Cameos?,Mayor,Armadillo,Rango or Rattlesnake Jake,N/A,,https://open.spotify.com/episode/6QVrMlEazpom1NLEZy1qbN?si=ITo-BNRrQbKU4M7DOriLsw,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1658412142453-de00892d7449a.jpg,,https://www.imdb.com/title/tt1192628/?ref_=ext_shr_lnk
DP,6,105,105,Johnny Mnemonic (1995),44773,0.05837962962962963,"=G111/TIME(0,0,60)",Space Monkey,Proto,36,8,Huffle joins the Discord,N/A,N/A,What is your favorite tech that was promised in sci fi and never happened?,Both of Ralphie's Bodyguards,The Dolphin,Udo,The Dolphin,,https://open.spotify.com/episode/7esvXbS4FjLa4ZnbPW0Uk4?si=l2ft58X_QLGfjs3ET4ttvg,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1659103171906-b41705b41335b.jpg,,https://www.imdb.com/title/tt0113481/?ref_=ext_shr_lnk
DP,6,106,106,Enemy Mine (1985),44780,0.06197916666666667,"=G112/TIME(0,0,60)",Space Monkey,None,25,4,N/A,N/A,N/A,Who are your favorite costumed characters in genre film?,Pit Monster,Pit Monster,Jerry,No answer,,https://open.spotify.com/episode/00sN5qfKDXFP4eamYtTCoL?si=FrC75vBwRnKVYjTQdyfAaQ,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1658951665787-f2d579a9f44da.jpg,,https://www.imdb.com/title/tt0089092/?ref_=ext_shr_lnk
DP,6,107,107,The Dead Zone (1983),44787,0.05559027777777778,"=G113/TIME(0,0,60)",Space Monkey,None,36,10,"- ""THE ICE, IS GONNA BREAK!"" 
- ctcher was supposed to be the guest but two of the refridgerators at hist brother's restaurant in Secret Cove broke and he couldn't make it
- Derek's gif ""THE HOSTS.... ARE ON A BREAK!""
- Haitch forgot to write part of the synopsis, so we get, 'The Dead Zone is.....FUCK!'
- Jason sings ""Sweeney Todd"" 
- Pod-First - New Corey voicemail ""Chah-sah!"" sounder",N/A,N/A,What's the worst wig you've ever seen in a movie?,Sonny,Tom Skerritt role,N/A,The Castle Rock Killer,,https://open.spotify.com/episode/5gh9OPWI8hv9QkGjYbTSxq?si=qunNhPVYT3quckDUevPikQ,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1660219770062-db6897e1f5f58.jpg,,https://www.imdb.com/title/tt0085407/?ref_=ext_shr_lnk
DP,6,108,108,Outland (1981),44794,0.0629050925925926,"=G114/TIME(0,0,60)",Space Monkey,Peter Kafka,46,2,More Max Petty,N/A,N/A,"If you were going to retell a classic story, how would you do it?",Dr. Lazarus,Peter Boyle role,The Kid,Dr. Lazarus,,https://open.spotify.com/episode/5gh9OPWI8hv9QkGjYbTSxq?si=qunNhPVYT3quckDUevPikQ,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1660920011438-5e9317d81b64c.jpg,,https://www.imdb.com/title/tt0082869/?ref_=ext_shr_lnk
DP,6,109,109,Conan the Barbarian (1982),44801,0.07591435185185186,"=G115/TIME(0,0,60)",Terence,Brian Moseley,23,5,"- haitch talks about his shotgun phase for the first time
- Jason Sings ''Crucify Me"" and ""Do You Want To Live Forever?""
- Silly Oswald - ""Haitch's letter is notarized"", ""Better than Lawrence of Arabia? Discord - Yes or no?""
- Haitch tells the story of writing a letter to the Conan Estate and Marvel in an effort to get the cover art changed on the filios""",N/A,N/A,Why are there no more movie stars and will there be any going forward?,Thorgrim,Thulsa Doom,the Wizard or I could see Thulsa Doom,Valeria or How about that witch,,https://open.spotify.com/episode/5z7qbYBwVCkhNRi764qXYu?si=EUUxoN2TQOW1e7DrY_xQHQ,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1661534430271-1052cba680fa6.jpg,,https://www.imdb.com/title/tt0082198/?ref_=ext_shr_lnk
DP,6,110,110,Climax (2018),44808,0.06336805555555555,"=G116/TIME(0,0,60)",NJBoom,Sophie Shin,15,1,"- Rule #1 of Dune Pod - The Pod can't lead to divorce. 
- Corey: who would win in a krumping battle, H or J? 
- Ethan first email. ",N/A,N/A,What is your favorite movie that you can never watch again?,Daddy rockin the turntables,The German Girl or Tito,The German Girl,No idea - probably herself,,https://open.spotify.com/episode/15BRZeF0ikpyZdL5vB9rXo?si=i8qRgTamSUONKJnAIJaFYA,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1662153817886-c8ecebd7b4dbf.jpg,,https://www.imdb.com/title/tt8359848/?ref_=ext_shr_lnk
DP,6,111,111,Red Dawn (1984),44815,0.06233796296296296,"=G117/TIME(0,0,60)",Space Monkey,Mikey P,47,2,N/A,N/A,N/A,"What's a movie that came out recently that made you wish you were a kid again, to see it?",Bella (Cuban Officer),Harry Dean Stanton role,History Teacher,"c ""Don't know""",,https://open.spotify.com/episode/7qnQkhFPZKEeqC3dPC7RGf?si=97DCct43Qe6E1j1QQzgVoQ,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1662643581479-9112e36f379b5.jpg,,https://www.imdb.com/title/tt0087985/?ref_=ext_shr_lnk
DP,6,112,112,The Terminator (1984),44822,0.08077546296296297,"=G118/TIME(0,0,60)",Space Monkey,Ryan Condal,59,9,N/A,N/A,N/A,"Prior to Avatar 2 release, what's your take on it?",Other Cop,Fredrickson (Cop),Sarah Connor's Iguana,Other Cop,,https://open.spotify.com/episode/7f9xMERZWVvHGbXAKdZej0?si=XvUogIqpQ5GT53lV273Amw,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1663260577415-884c271791f65.jpg,,https://www.imdb.com/title/tt0088247/?ref_=ext_shr_lnk
DP,6,113,113,Superman III (1983),44829,0.06204861111111111,"=G119/TIME(0,0,60)",Space Monkey,Cody Keenan,46,9,Amazing interview segment re: working in the Obama White House,N/A,N/A,Why do you think people have so much trouble telling Superman stories on film?,N/A,N/A,N/A,Gus Gorman,,https://open.spotify.com/episode/0EMG4lq6cmOl9IBjX0ZszC?si=npA-hQ0aQjGbuHBFgOx-FA,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1663680985076-c66321207e3a6.jpg,,https://www.imdb.com/title/tt0086393/?ref_=ext_shr_lnk
DP,6,114,114,Network (1976),44836,0.08638888888888889,"=G120/TIME(0,0,60)",Space Monkey,Dave Itzkoff,62,12,N/A,N/A,N/A,What are your favorite books about people?,Jensen,Schumaker's wife,Hacket,Narrator,,https://open.spotify.com/episode/18NiqczxdfJeJH7mcEovUV?si=3khymsFKRrC-w2pdH_JYHw,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1664569024371-fb7414fdde9c9.jpg,,https://www.imdb.com/title/tt0074958/?ref_=ext_shr_lnk
DP,6,115,115,Children of Dune (2003),44843,0.09572916666666667,"=G121/TIME(0,0,60)",Buddha,Greg Yaitanes,21,1,"- Max Petty on war on Ukraine
- Jason interview regarding Twitter sale
- Does not actually start CoD talk for over an hour
- Chuckle Hut + Silly shout out (and Greg inviting himself)
- Beard chat
- Austin meetup announced",N/A,N/A,What are your favorite hats in cinema?,Viserys (HotD),N/A,One-man-show,N/A,,https://open.spotify.com/episode/5GNAzWWOxVRb2mltMzdtEO?si=7M1cK-2bSkiNTswOX2_L-A,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1665064886008-e17ae4df77924.jpg,,https://www.imdb.com/title/tt0287839/?ref_=ext_shr_lnk
DP,6,116,116,Legend (1985),44850,0.07658564814814815,"=G122/TIME(0,0,60)",Buddha,Rosie Knight,23,3,"- End of DunePod / branding problem announced
- the aughts = H is 200 years old according to Jason
- Dune 2 announced release date November - hosts shocked not 2024
- Jason incredulous that Haitch has not seen Neverending Story
- H has not seen Master & Commander
- Hex shout out
- Pod-First - Ethan bought microphone - START OF BOG POD
- Jason professes his love for Twilight",N/A,Just came back from visiting Obama,What is your least favorite performance by your favorite actor (can't be Tilda!)?,Darkness,Darkness,Darkness,Jack,Hex favorite ,https://open.spotify.com/episode/5IhJl6XTh4plbWKkwM5qTr?si=uKoiPVoeQiaErUBV0lqa2g,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1665751381791-12b2b6124e6fc.jpg,,https://www.imdb.com/title/tt0089469/?ref_=ext_shr_lnk
DP,6,117,117,Memento (2001),44857,0.06736111111111111,"=G123/TIME(0,0,60)",Space Monkey,M.G. Siegler,26,4,"Jason asks the guest: ""Have you ever seen The Neverending Story?"" Response: ""Yes, many times.""",N/A,N/A,"What do you think of the current TV/streaming landscape? (bit about ""forgetting"" Memento)",Sammy Jankis,Burt (Hotel Manager),Teddy,Teddy,,https://open.spotify.com/episode/2HlhTz1bBYoTTUgCta3gi7?si=70ieovbrT9OonpmOifLhpg,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1666284089629-703334c9ccf6a.jpg,,https://www.imdb.com/title/tt0209144/?ref_=ext_shr_lnk
DP,6,118,118,Big Trouble in Little China (1986),44865,0.06180555555555556,"=G124/TIME(0,0,60)",Terence,Jonesy Loves Beer,36,4,"- Announcement of the launch of Twin Vipers
- Jason Sings I'm Moving Out (Billy Joel)
- Haitch and Jason discovering what ""Watch Mojo"" is",N/A,N/A,If you could book a double feature with any two movies what would you book?,The Beholder,Lo Pan?,Both Egg Shen and Lo Pan - dual roles,Lo Pan,,https://open.spotify.com/episode/6lWvXD8MZ4GCd9SbQ09frc?si=2Oapv4MqS9m8ssUdN11VIA,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1666223554131-7c0f1fefe4ad6.jpg,,https://www.imdb.com/title/tt0090728/?ref_=ext_shr_lnk
DP,6,119,119,Galaxy Quest (1999),44872,0.08888888888888889,"=G125/TIME(0,0,60)",birria,Tom Coates,39,2,"- H just back from the Hoffman Process, hints at the potency of un-cut H. 
- Lots of Elon talk after he is forced to actually buy Twitter. 
- Is this the greatest movie of all time? 
- Tom reading ""What a Savings"" is gold. 
- Pod-First: Paul Atreides-Nuts drops greatest VM in history - Florence Pew Pew Pew, 
- Silly Thermian voicemail also excellent ",Asked Patrick Stewart a question at a convention ,Jason met Michael Moore at a convention while Moore was housing chicken fingers,"Since this movie starts at a convention, any funny convention stories?",Rickman - she should play Dr Lazarus if they ever do a sequel ,Saris,"Rickman (obviously), or Mathazar (the better choice)",Tim Allen's character ,"One of my Favorites - buddha 
Such a thoughtful and deep-feeling episode - T
Love this one, not only because of the discussion around Galaxy Quest, and how perfect a movie it is, but also because it was one of the great examples of the Chuckle Hut having a really great time watching the movie and in the live recording chat. - Brother Mark",https://open.spotify.com/episode/4K9eIOfBZrAUxXtnnvkSIh?si=p6hArqZPTq2BQBanJ-8YMQ,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1667577661582-62392bf3c54a8.jpg,,https://www.imdb.com/title/tt0177789/?ref_=ext_shr_lnk
DP,6,120,120,Elvis (2022),44878,0.06875,"=G126/TIME(0,0,60)",Space Monkey,Kev,59,2,Pod-First: Kev explains The Freak Beat,Mr. Mainland,N/A,What's the biggest con you've seen?,Devolved into admonishment of 70mm for disparaging Tilda,Devolved into admonishment of 70mm for disparaging Tilda,Colonel,Priscilla Presley,,https://open.spotify.com/episode/2BDWYqLQbRxdDXpGJX130i?si=dJ1N2sW1RluajXeA5htceA,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1668174297792-e2f74f8dbd703.jpg,,https://www.imdb.com/title/tt3704428/?ref_=ext_shr_lnk
DP,6,121,121,Out of Sight (1998),44886,0.06388888888888888,"=G127/TIME(0,0,60)",Space Monkey,Peter Kafka,40,3,N/A,N/A,N/A,"Outside of Soderbergh films, what is the greatest heist depicted in a motion picture?",N/A,Possibly Samuel L Jackson role,Steve Zahn role,Ray Nicolette,,https://open.spotify.com/episode/54Zn1uFnG0XRmEPxg2tHUT?si=7g7G3WoeRbW6JrJcrKtuWw,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1668881614963-6336afbedfb85.jpg,,https://www.imdb.com/title/tt0120780/?ref_=ext_shr_lnk
DP,6,122,122,Midsommar (2019),44893,0.0763888888888889,"=G128/TIME(0,0,60)",Space Monkey,Ian de Borja,57,3,N/A,N/A,N/A,What are some early performances that convinced you that the actor was going to be a star?,Pelle,The Old Woman,The Bear,The Bear,,https://open.spotify.com/episode/5HIyBXRxI5RvCMeyfARO0d?si=VsWjIJpvRMaT1Sdnv73WPA,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1669138922420-00f29b97b66ac.jpg,,https://www.imdb.com/title/tt8772262/?ref_=ext_shr_lnk
DP,6,123,123,Bones and All (2022),44900,0.050694444444444445,"=G129/TIME(0,0,60)",Space Monkey,ctcher,19,0,N/A,N/A,N/A,What movies were you shown in school? ,Hillbilly,N/A ,Sully,Didn't watch/prepped for Gattaca,,https://open.spotify.com/episode/5HIyBXRxI5RvCMeyfARO0d?si=VsWjIJpvRMaT1Sdnv73WPA,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1669902829335-dc46f5e9caa22.jpg,,https://www.imdb.com/title/tt10168670/?ref_=ext_shr_lnk
DP,6,124,124,Rounders (1998),44907,0.11041666666666666,"=G130/TIME(0,0,60)",Terence,DGAF Poker Player,46,6,"- Jason details his recent bout with hand, foot and mouth disease
- Kev says Criterion commentary and extras are on the Criterion Channel",N/A,N/A,What is the most wrong a critic's ever been?,Knish,"Rusty in discord says ""Teddy KGB""","""I don't know who Tilda Swinton is - Jo?""",Grama,,https://open.spotify.com/episode/0XzNlGqHcKrkDV2g7pOXWg?si=4RBcZHFsQeOS1rtzEiF9Bw,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1670610171054-80a30da527f7d.jpg,,https://www.imdb.com/title/tt0128442/?ref_=ext_shr_lnk
DP,6,125,125,Three Days of the Condor (1975),44914,0.08819444444444445,"=G131/TIME(0,0,60)",Jeth,Ben Rhodes,55,4,"- ""John Le Carre's Ski Chalet""
- Kev takes the blame if Austin Butler ruins Dune 2
- Jason had to buy a mic in a blizzard so H didn't replace him with an AI bot for the episode. 
- Derek Chief Emoji Officer voicemail. 
- Great Silly Voicemail",N/A,N/A,Most bewildering change from book to film that you can think of off the top of your head.,Wabash,N/A (Agrees with Ben),Joubert the Assassin ,Robert Redford (Joseph Turner),The best film pod covers the platonic ideal of 70s conspiracy cinema. Perfection. - pat ,https://open.spotify.com/episode/3VoePiPhXYL4f9NyNmBVpA?si=FIvfoS6URu2-VlHJcF6HYg,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1671286681916-87325b85cb2fd.jpg,,https://www.imdb.com/title/tt0073802/?ref_=ext_shr_lnk
DP,6,126,126,Terminator 2 - Judgment Day (1991),44919,0.09027777777777778,"=G132/TIME(0,0,60)",birria,Ryan Condal,37,2,"- H made an official Dune Pod Explosive Decompression sounder. 
- Jason pitched a live-reading of the Dinner Scene from Dune at the D2 Meetup. ",N/A,N/A,What is your favorite egregious explosion in a non-Cameron film?,The sadistic doctor,"Eddie Furlong, Young John Connor","the T1000, or Enrique the arms dealer in Mexico, just to hear her say, ""Why don't you take the fillings out of my Fucking Teeth, Connor?""",Axl Rose singing You Could Be Mine,,https://open.spotify.com/episode/0FSmt54eeVfkiXTndduvmK?si=lEDEL7UKT5WsZocCk1oMmw,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1671721247987-82be82be93c18.jpg,,https://www.imdb.com/title/tt0103064/?ref_=ext_shr_lnk
DP,6,127,127,Real Genius (1985),44926,0.058333333333333334,"=G133/TIME(0,0,60)",Terence,Meredith Borders,6,0,"- Jason makes special note of Kent's Rolex Daytona 6265 #watchtalk
- Last Pod of 2022","""When I was on the set of Mrs. Doubtfire, and got to watch Robin Williams for a day"" ""Wait, you were a babysitter on the set of Mrs. Doubtfire - you Mrs. Doubtfire Mrs Doubtfire?"" - Jason",N/A,"Have you ever had a strong reaction to an actor showing in a movie, based on their character from a previous movie?",Jerry,Laslo,Laslo,the mythological old nerd. . . .he dropped out of nerddom and was a secret nerd,,https://open.spotify.com/episode/5wQU4eFQ14DGUNqx2IOFFn?si=4lWUcIs9SYeOARK5A9HO-g,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1671300182946-d9c746fbdf21d.jpg,,https://www.imdb.com/title/tt0089886/?ref_=ext_shr_lnk
DP,6,128,128,A League of Their Own (1992),44934,0.05763888888888889,"=G134/TIME(0,0,60)",Terence,Megan Hayward / Steph Colbourn,26,3,"- Interview with Megan Hayward - editor of Dune Pod
- Jason Sings This used to be my playground. . . this used to be my pride and joy, ""
- Jason has a Jew report - he thought Gerry and Penny Marshall were Jewish; He would have bet his life on it - but they're Italian, 
- Silly Oswald's voice mail - a news update in the style of 1940s newsreels but updating about the women of the Bene Gesserit """,N/A,N/A,What are your podcasting New Year's Resolutions for 2022?,Jimmy,Miss Cuthbert - the Chaperone,"Steph - The Jon Lovitz Character. . . Ernie
Megan - Stillwell
",Tom Hanks,,https://open.spotify.com/episode/6aRKXoBsFt9di6ZiCLuA9e?si=6_x4jgVxRJORkblgrjvJhQ,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1670631455114-8d2d22c6b10fe.jpg,,https://www.imdb.com/title/tt0104694/?ref_=ext_shr_lnk
DP,6,129,129,EMERGENCY EP - Watch Talk (2023),44941,0.058333333333333334,"=G135/TIME(0,0,60)",Space Monkey,Slim,8,3,"Pod-First - The Witch! 
- Haitch does not host due to illness",N/A,"The Whole Episode/Emergency Seat One/Extensive, ready knowledge of all timepieces referenced",Just shared his favorite movie timepieces,N/A,N/A,N/A,Wallet Talk,,https://open.spotify.com/episode/5myqegIFmZfnPY31LE6K0c?si=84HCdvsYT6uTP2mExh0_kQ,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1673733633339-35a9da3f1a29a.jpg
DP,6,130,130,Spectre (2015),44948,0.08055555555555556,"=G136/TIME(0,0,60)",Space Monkey,Chris Lord,51,7,N/A,N/A,N/A,"When's the last time a creative redeemed themselves to you, after a disappointing performance? ",Monica Bellucci role,Blofeld,Blofeld/Denby,Dolly (Moonraker),,https://open.spotify.com/episode/6xGCiKE7RtsZem42Bw4noT?si=y4EeBrmLTeOiIlS9BuB6NQ,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1674147756760-bad9b7b273325.jpg,,https://www.imdb.com/title/tt2379713/?ref_=ext_shr_lnk
DP,6,131,131,Crouching Tiger Hidden Dragon (2000),44956,0.06597222222222222,"=G137/TIME(0,0,60)",Terence,Devindra Hardawar,12,7,"""Men will die from purple yin poisoning instead of going to therapy""",N/A,N/A,"What is your reference disc? The movie that you show off to everybody ""Look what my tv can do""",Guy with the fan,Li Mu Bai,Bo or Jade Fox,"no idea, probably one of the characters in the movie, probably female, maybe a male",,https://open.spotify.com/episode/6nLswjH7hFEZ8VeJFIJ2tX?si=C4RQ3lEcSjyRHcVTJCBhjg,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1674745115738-182306bd468af.jpg,,https://www.imdb.com/title/tt0190332/?ref_=ext_shr_lnk
DP,6,132,132,Hackers (1995),44962,0.06666666666666667,"=G138/TIME(0,0,60)",Space Monkey,Alex Stamos,35,3,Haitch's wife Aunder joins the Discord,N/A,N/A,Have you guys ever been caught pirating something online?,The Plague,The Plague,Secret Service Agent,The Plague,,https://open.spotify.com/episode/6bLCFdroiQHi39PsjpZ6N6?si=rsf9XK5ZS02ZnN6JNgchDg,https://d2a9bkgsuxmqe2.cloudfront.net/production/podcast_uploaded_episode400/5864738/5864738-1675450503973-e0435d17109c3.jpg,,https://www.imdb.com/title/tt0113243/?ref_=ext_shr_lnk
